,Name,Position,Age,Overall_Rating,Potential,Duration,Team,Value € M,Wage € K,Total_Stats,photo_link
84,Brennan Johnson,ST,21,75,85,2019 ~ 2026,Nottingham Forest,12.5,43,1837,https://cdn.sofifa.net/players/251/421/23_180.png
85,Alan Varela,CM,20,76,85,2020 ~ 2026,Boca Juniors,15.5,11,1970,https://cdn.sofifa.net/players/260/599/23_180.png
86,N'Golo Kanté,CM,31,88,88,2016 ~ 2023,Chelsea,64,210,2141,https://cdn.sofifa.net/players/215/914/23_180.png
87,Tammy Abraham,ST,24,81,85,2021 ~ 2026,Roma,37.5,71,1920,https://cdn.sofifa.net/players/231/352/23_180.png
88,Arnau Martínez López,RWB,19,76,85,2020 ~ 2025,Girona,15.5,12,1885,https://cdn.sofifa.net/players/260/815/23_180.png
89,Sergej Milinkovi?-Savi?,CM,27,86,86,2015 ~ 2024,Lazio,72,90,2250,https://cdn.sofifa.net/players/223/848/23_180.png
90,Kylian Mbappé,LW,23,91,95,2018 ~ 2024,Paris Saint Germain,190.5,230,2181,https://cdn.sofifa.net/players/231/747/23_180.png
91,Christopher Nkunku,ST,24,86,89,2019 ~ 2024,RB Leipzig,94,90,2172,https://cdn.sofifa.net/players/232/411/23_180.png
92,Davide Frattesi,CDM,22,78,85,2017 ~ 2026,Sassuolo,28.5,30,2065,https://cdn.sofifa.net/players/239/807/23_180.png
93,Jordi Alba Ramos,LB,33,85,85,2012 ~ 2024,FC Barcelona,28,190,2218,https://cdn.sofifa.net/players/189/332/23_180.png
94,Florentino Morris Luís,CM,22,79,85,2017 ~ 2027,Benfica,26,13,1822,https://cdn.sofifa.net/players/234/569/23_180.png
95,Ricard Puig Martí,CAM,22,75,83,2022 ~ 2025,LA Galaxy,12.5,8,1878,https://cdn.sofifa.net/players/242/816/23_180.png
96,Jonathan David,ST,22,81,85,2020 ~ 2025,Lille,38,41,1957,https://cdn.sofifa.net/players/243/630/23_180.png
97,Gabriel Veiga Novas,CAM,20,69,85,2019 ~ 2026,Celta de Vigo,3.6,8,1819,https://cdn.sofifa.net/players/258/729/23_180.png
98,Milos Kerkez,LB,18,74,84,2022 ~ 2026,AZ Alkmaar,8.5,3,1906,https://cdn.sofifa.net/players/260/908/23_180.png
99,Giorgi Mamardashvili,GK,21,79,85,2022 ~ 2027,Valencia,23,19,1095,https://cdn.sofifa.net/players/262/621/23_180.png
100,Antonio Nusa,LM,17,66,86,2021 ~ 2027,Club Brugge,2.3,900,1680,https://cdn.sofifa.net/players/262/863/23_180.png
101,Rúben Diogo da Silva Neves,CM,25,83,86,2017 ~ 2024,Wolverhampton Wanderers,43.5,95,2178,https://cdn.sofifa.net/players/224/293/23_180.png
102,José Diogo Dalot Teixeira,RB,23,80,86,2018 ~ 2024,Manchester United,31,90,2098,https://cdn.sofifa.net/players/234/574/23_180.png
103,Nicolò Zaniolo,RM,22,80,84,2023 ~ 2027,Galatasaray,31,71,2081,https://cdn.sofifa.net/players/238/067/23_180.png
104,Reece James,RB,22,84,88,2017 ~ 2028,Chelsea,57,120,2251,https://cdn.sofifa.net/players/238/074/23_180.png
105,Orkun Kökçü,CAM,21,81,86,2017 ~ 2025,Feyenoord,39.5,12,2152,https://cdn.sofifa.net/players/243/245/23_180.png
106,Mohamed Simakan,RB,22,79,86,2021 ~ 2027,RB Leipzig,33,43,1846,https://cdn.sofifa.net/players/243/854/23_180.png
107,Georginio Rutter,RW,20,74,84,2023 ~ 2028,Leeds United,9.5,27,1747,https://cdn.sofifa.net/players/245/637/23_180.png
108,Armel Bella Kotchap,CB,20,74,83,2022 ~ 2026,Southampton,8.5,28,1579,https://cdn.sofifa.net/players/247/497/23_180.png
109,Ronald Araujo,RB,23,83,89,2018 ~ 2026,FC Barcelona,52,135,1910,https://cdn.sofifa.net/players/253/163/23_180.png
110,Noni Madueke,RM,20,77,86,2023 ~ 2030,Chelsea,23,72,1896,https://cdn.sofifa.net/players/254/796/23_180.png
111,Willian Pacho,CB,20,74,84,2022 ~ 2026,Antwerp,8.5,12,1695,https://cdn.sofifa.net/players/256/196/23_180.png
112,Facundo Farías,CF,19,75,85,2020 ~ 2023,Colón,12,9,1943,https://cdn.sofifa.net/players/256/287/23_180.png
113,Luka Su?i?,CM,19,74,85,2019 ~ 2025,Salzburg,9,14,1933,https://cdn.sofifa.net/players/258/775/23_180.png
114,Jamie Bynoe-Gittens,LM,17,70,87,2022 ~ 2025,Borussia Dortmund,4,3,1636,https://cdn.sofifa.net/players/266/032/23_180.png
115,Alejandro Garnacho Ferreyra,LM,18,70,86,2021 ~ 2028,Manchester United,4,21,1700,https://cdn.sofifa.net/players/268/438/23_180.png
116,Facundo Buonanotte,CM,17,68,83,2023 ~ 2026,Brighton & Hove Albion,2.8,3,1603,https://cdn.sofifa.net/players/269/495/23_180.png
117,Lucas Bergvall,CM,16,58,83,2023 ~ 2025,Djurgården,0.625,500,1600,https://cdn.sofifa.net/players/272/926/23_180.png
118,Bruno Guimarães Moura,CDM,24,84,87,2022 ~ 2026,Newcastle United,57,115,2201,https://cdn.sofifa.net/players/247/851/23_180.png
119,Benjamin Šeško,ST,19,74,85,2021 ~ 2026,Salzburg,9,16,1859,https://cdn.sofifa.net/players/260/592/23_180.png
120,Lionel Messi,RW,35,91,91,2021 ~ 2023,Paris Saint Germain,54,195,2190,https://cdn.sofifa.net/players/158/023/23_180.png
121,Antoine Griezmann,LM,31,86,86,2022 ~ 2026,Atlético Madrid,57.5,105,2295,https://cdn.sofifa.net/players/194/765/23_180.png
122,James Maddison,CAM,25,84,85,2018 ~ 2024,Leicester City,50.5,115,2127,https://cdn.sofifa.net/players/220/697/23_180.png
123,Niklas Schmidt,CF,24,70,75,2018 ~ 2025,Werder Bremen,2.4,12,1847,https://cdn.sofifa.net/players/235/022/23_180.png
124,Edson Álvarez,CB,24,80,84,2019 ~ 2025,Ajax,27.5,17,1975,https://cdn.sofifa.net/players/235/844/23_180.png
125,Tariq Lamptey,RWB,21,75,82,2020 ~ 2025,Brighton & Hove Albion,11,35,1829,https://cdn.sofifa.net/players/242/418/23_180.png
126,Rodrygo Silva de Goes,ST,21,83,89,2019 ~ 2028,Real Madrid,58.5,150,2003,https://cdn.sofifa.net/players/243/812/23_180.png
128,Raphaël Guerreiro,CM,28,83,83,2016 ~ 2023,Borussia Dortmund,33,63,2176,https://cdn.sofifa.net/players/209/889/23_180.png
129,Donyell Malen,LM,23,79,82,2021 ~ 2026,Borussia Dortmund,24,43,1994,https://cdn.sofifa.net/players/231/447/23_180.png
130,Robin Le Normand,CB,25,82,87,2016 ~ 2026,Real Sociedad,40.5,39,1662,https://cdn.sofifa.net/players/233/486/23_180.png
131,Lucas Tolentino Coelho de Lima,CM,24,81,86,2022 ~ 2027,West Ham United,39,71,2181,https://cdn.sofifa.net/players/233/927/23_180.png
132,Evan Ndicka,CB,22,79,85,2018 ~ 2023,Eintracht Frankfurt,25.5,26,1944,https://cdn.sofifa.net/players/236/403/23_180.png
133,Alessandro Bastoni,CB,23,84,89,2017 ~ 2024,Inter,57.5,75,1909,https://cdn.sofifa.net/players/237/383/23_180.png
134,Bukayo Saka,RM,20,85,90,2018 ~ 2024,Arsenal,80,110,2173,https://cdn.sofifa.net/players/246/669/23_180.png
135,Eduardo Camavinga,LB,19,81,89,2021 ~ 2027,Real Madrid,52.5,75,2142,https://cdn.sofifa.net/players/248/243/23_180.png
136,Márton Dárdai,CB,20,71,82,2020 ~ 2025,Hertha BSC,3.8,12,1703,https://cdn.sofifa.net/players/256/780/23_180.png
137,Amadou Onana,CM,20,75,85,2022 ~ 2027,Everton,11.5,23,1904,https://cdn.sofifa.net/players/257/057/23_180.png
138,Martin Baturina,CAM,19,73,86,2021 ~ 2028,Dinamo Zagreb,7,500,1954,https://cdn.sofifa.net/players/262/842/23_180.png
139,Roony Bardghji,RW,16,66,86,2021 ~ 2025,København,2.3,1,1611,https://cdn.sofifa.net/players/265/600/23_180.png
140,Solly March,RM,27,79,79,2013 ~ 2026,Brighton & Hove Albion,18.5,71,2010,https://cdn.sofifa.net/players/206/594/23_180.png
141,Leandro Paredes,CDM,28,79,79,"Jun 30, 2023",Juventus,17.5,82,2119,https://cdn.sofifa.net/players/207/439/23_180.png
142,João Pedro Cavaco Cancelo,RM,28,87,87,"Jun 30, 2023",FC Bayern München,72,210,2252,https://cdn.sofifa.net/players/210/514/23_180.png
143,Marc Guéhi,CB,21,78,86,2021 ~ 2026,Crystal Palace,29.5,36,1760,https://cdn.sofifa.net/players/241/159/23_180.png
144,João Félix Sequeira,ST,22,83,89,"Jun 30, 2023",Chelsea,59,71,2101,https://cdn.sofifa.net/players/242/444/23_180.png
145,Mohammed Kudus,RW,21,78,86,2020 ~ 2025,Ajax,31.5,14,2051,https://cdn.sofifa.net/players/245/155/23_180.png
146,Harvey Elliott,RW,19,77,87,2019 ~ 2027,Liverpool,23,49,1819,https://cdn.sofifa.net/players/246/174/23_180.png
147,Wesley Fofana,CB,21,79,86,2022 ~ 2028,Chelsea,33,67,1773,https://cdn.sofifa.net/players/248/695/23_180.png
148,Kouadio Manu Koné,CM,21,77,86,2021 ~ 2025,Borussia Mönchengladbach,23.5,21,2042,https://cdn.sofifa.net/players/250/723/23_180.png
149,Norberto Gomes Betuncal,ST,24,80,84,2022 ~ 2026,Udinese,30.5,22,1832,https://cdn.sofifa.net/players/251/892/23_180.png
150,Ali Al Musrati,CM,26,81,84,2020 ~ 2026,Sporting Braga,30.5,19,1953,https://cdn.sofifa.net/players/252/308/23_180.png
151,Samuele Ricci,CM,20,75,85,2022 ~ 2026,Torino,11.5,25,1959,https://cdn.sofifa.net/players/253/473/23_180.png
152,Mohamed-Ali Cho,ST,18,72,85,2022 ~ 2027,Real Sociedad,5.5,9,1667,https://cdn.sofifa.net/players/256/476/23_180.png
153,Yeremy Jesús Pino Santos,ST,19,79,87,2020 ~ 2027,Villarreal,38,21,1827,https://cdn.sofifa.net/players/259/377/23_180.png
154,Charlie Patino,CDM,18,67,85,"Jun 30, 2023",Blackpool,2.6,8,1748,https://cdn.sofifa.net/players/260/144/23_180.png
155,Tino Livramento,RB,19,74,84,2021 ~ 2026,Southampton,8.5,21,1841,https://cdn.sofifa.net/players/262/118/23_180.png
156,Björn Meijer,LWB,19,72,86,2022 ~ 2026,Club Brugge,5.5,9,1921,https://cdn.sofifa.net/players/262/219/23_180.png
157,Jeremy Sarmiento,CAM,20,67,81,2021 ~ 2026,Brighton & Hove Albion,2.5,14,1629,https://cdn.sofifa.net/players/263/522/23_180.png
158,Roger Fernandes,RM,16,63,86,2021 ~ 2024,Sporting Braga,1.5,500,1573,https://cdn.sofifa.net/players/263/828/23_180.png
159,Stefan Bajcetic Maquieira,CM,17,69,85,2021 ~ 2027,Liverpool,3.3,2,1752,https://cdn.sofifa.net/players/271/975/23_180.png
160,Jorrel Hato,CB,16,64,85,2022 ~ 2025,Ajax,1.8,500,1604,https://cdn.sofifa.net/players/272/978/23_180.png
161,Adrien Rabiot,LM,27,82,82,2019 ~ 2023,Juventus,32,120,2220,https://cdn.sofifa.net/players/210/008/23_180.png
162,Manuel Locatelli,CM,24,82,86,"Jun 30, 2023",Juventus,40,37,2132,https://cdn.sofifa.net/players/222/077/23_180.png
163,Frenkie de Jong,CM,25,87,90,2019 ~ 2026,FC Barcelona,104.5,230,2238,https://cdn.sofifa.net/players/228/702/23_180.png
164,João Maria Palhinha Gonçalves,CM,26,82,84,2022 ~ 2027,Fulham,34,72,2058,https://cdn.sofifa.net/players/229/391/23_180.png
165,Trent Alexander-Arnold,RB,23,85,88,2015 ~ 2025,Liverpool,68,130,2221,https://cdn.sofifa.net/players/231/281/23_180.png
166,Kai Havertz,ST,23,83,89,2020 ~ 2025,Chelsea,57.5,120,2051,https://cdn.sofifa.net/players/235/790/23_180.png
167,Eberechi Eze,LM,24,77,82,2020 ~ 2025,Crystal Palace,16,45,1952,https://cdn.sofifa.net/players/235/794/23_180.png
168,Phil Foden,RW,22,84,90,2016 ~ 2027,Manchester City,67.5,165,2084,https://cdn.sofifa.net/players/237/692/23_180.png
169,Pedro António Pereira Gonçalves,CM,24,82,87,2020 ~ 2026,Sporting CP,46,20,2106,https://cdn.sofifa.net/players/240/950/23_180.png
170,Aurélien Tchouaméni,CM,22,83,89,2022 ~ 2028,Real Madrid,53.5,145,2138,https://cdn.sofifa.net/players/241/637/23_180.png
171,Rafael da Conceição Leão,ST,23,84,90,2019 ~ 2024,Milan,66.5,90,1978,https://cdn.sofifa.net/players/241/721/23_180.png
172,Samuel Chukwueze,RW,23,79,85,2018 ~ 2024,Villarreal,27.5,32,1898,https://cdn.sofifa.net/players/246/172/23_180.png
173,Adam Hložek,LM,19,76,86,2022 ~ 2027,Bayer 04 Leverkusen,16.5,29,1925,https://cdn.sofifa.net/players/246/618/23_180.png
174,Anssumane Fati,ST,19,79,89,2018 ~ 2027,FC Barcelona,38,84,1913,https://cdn.sofifa.net/players/253/004/23_180.png
175,Nicholas Williams Arthuer,LM,19,78,86,2020 ~ 2024,Athletic Club,30.5,16,1920,https://cdn.sofifa.net/players/256/516/23_180.png
176,Nicolas Jackson,LM,21,73,82,2020 ~ 2026,Villarreal,7,20,1787,https://cdn.sofifa.net/players/259/197/23_180.png
177,Carney Chukwuemeka,CF,18,64,84,2022 ~ 2028,Chelsea,1.6,7,1687,https://cdn.sofifa.net/players/259/356/23_180.png
178,Alex Scott,CAM,18,71,84,2021 ~ 2025,Bristol City,4.3,8,1923,https://cdn.sofifa.net/players/261/299/23_180.png
179,Quentin Merlin,LWB,20,71,84,2020 ~ 2026,Nantes,4.3,11,1921,https://cdn.sofifa.net/players/261/616/23_180.png
180,Emre Can,CB,28,83,83,2020 ~ 2024,Borussia Dortmund,32,63,2253,https://cdn.sofifa.net/players/208/333/23_180.png
182,Eden Hazard,LW,31,82,82,2019 ~ 2024,Real Madrid,25,185,2022,https://cdn.sofifa.net/players/183/277/23_180.png
183,Jack Grealish,LM,26,84,84,2021 ~ 2027,Manchester City,46,185,2084,https://cdn.sofifa.net/players/206/517/23_180.png
184,Martin Ødegaard,CM,23,86,89,2021 ~ 2026,Arsenal,93,125,2136,https://cdn.sofifa.net/players/222/665/23_180.png
185,Federico Dimarco,CB,24,80,83,2018 ~ 2026,Inter,26.5,54,2149,https://cdn.sofifa.net/players/226/268/23_180.png
186,Rodrigo Bentancur,CM,25,82,86,2022 ~ 2026,Tottenham Hotspur,42,105,2163,https://cdn.sofifa.net/players/227/535/23_180.png
187,Theo Hernández,LM,24,85,90,2019 ~ 2026,Milan,76,82,2195,https://cdn.sofifa.net/players/232/656/23_180.png
188,Ferdi Kadioglu,LM,22,76,82,2018 ~ 2026,Fenerbahçe,11.5,44,2023,https://cdn.sofifa.net/players/235/152/23_180.png
189,Federico Chiesa,RW,24,84,87,2022 ~ 2025,Juventus,57.5,125,2078,https://cdn.sofifa.net/players/235/805/23_180.png
190,Joe Willock,CM,22,78,84,2021 ~ 2027,Newcastle United,22.5,70,2075,https://cdn.sofifa.net/players/237/329/23_180.png
191,Pervis Estupiñán,LB,24,79,83,2022 ~ 2027,Brighton & Hove Albion,23.5,55,1912,https://cdn.sofifa.net/players/237/942/23_180.png
192,Rúben Santos Gato Alves Dias,CB,25,88,91,2020 ~ 2027,Manchester City,107.5,230,1888,https://cdn.sofifa.net/players/239/818/23_180.png
193,Nicolás González,LW,24,80,83,2021 ~ 2026,Fiorentina,29,58,1985,https://cdn.sofifa.net/players/240/690/23_180.png
194,Borna Sosa,LWB,24,79,83,2018 ~ 2025,VfB Stuttgart,23.5,24,2000,https://cdn.sofifa.net/players/243/388/23_180.png
195,Edmond Tapsoba,CB,23,81,85,2020 ~ 2026,Bayer 04 Leverkusen,33,49,1914,https://cdn.sofifa.net/players/247/263/23_180.png
